id,legal_name,display_name,aliases,cin,sector,sub_sector,listed,bse_code,nse_symbol,isins,priority_tier
1,Spandana Sphoorty Financial Limited,Spandana Sphoorty,Spandana;Spandana Sphoorty Financial,L65929TG2003PLC040648,NBFC,MFI,TRUE,542759,SPANDANA,,1
2,Muthoot Finance Limited,Muthoot Finance,Muthoot Finance Ltd,L65910KL1997PLC011300,NBFC,gold_loan,TRUE,533398,MUTHOOTFIN,,1
3,IKF Home Finance Limited,IKF Home Finance,IKF Home Finance Ltd,U65922TG1998PLC029847,HFC,affordable_housing,FALSE,,,,1
4,Namdev Finvest Private Limited,Namdev Finvest,,,NBFC,other_finance,,,,,2
5,MINTIFI Finserve Private Limited,MINTIFI Finserve,,,NBFC,other_finance,,,,,2
6,KrazyBee Services Limited,KrazyBee Services,,,NBFC,other_finance,,,,,2
7,HDFC Mutual Fund,HDFC Mutual Fund,,,Asset Management,mutual_fund,,,,,2
8,Manba Finance Limited,Manba Finance,,,NBFC,other_finance,,,,,2
9,Nabkisan Finance Limited,Nabkisan Finance,,,NBFC,other_finance,,,,,2
10,Karnataka Bank Limited,Karnataka Bank,,,Bank,bank,,,,,2
11,Laxmi India Finance Limited,Laxmi India Finance,,,NBFC,other_finance,,,,,2
12,Axis Securities Limited,Axis Securities,,,Capital Markets,securities_broking,,,,,2
13,Kissandhan Agri Financial Serviced Limited,Kissandhan Agri Financial Serviced,,,NBFC,other_finance,,,,,2
14,Ashika Stock Services Limited,Ashika Stock Services,,,NBFC,other_finance,,,,,2
15,IFCI Limited,IFCI,,,NBFC,other_finance,,,,,2
16,Punjab and Sind Bank,Punjab and Sind Bank,,,Bank,bank,,,,,2
17,Wonder Home Finance Limited,Wonder Home Finance,,,HFC,housing_finance,,,,,2
18,CFM ARC,CFM ARC,,,ARC,asset_reconstruction,,,,,2
19,Aye Finance Limited,Aye Finance,,,NBFC,other_finance,,,,,2
20,SBM Bank (India) Limited,SBM Bank (India),,,Bank,bank,,,,,2
21,Tourism Finance Corporation of India Limited,Tourism Finance Corporation of India,,,NBFC,other_finance,,,,,2
22,Home First Finance Company India Limited,Home First Finance Company India,,,HFC,housing_finance,,,,,2
23,Karnataka State Financial Corporation,Karnataka State Financial Corporation,,,Financial Institution,development_finance,,,,,2
